Indonesian,English
aku,I
kau,you
yang,Which
tidak,No
ini,This
itu,That
dan,And
dia,he
di,in
akan,will
apa,What
kita,We
untuk,For
bisa,Can
ada,There is
tak,not
mereka,they
anda,You
tahu,know
dengan,with
saya,I
dari,from
ya,yes
tapi,But
kami,we
ke,to
harus,must
sudah,Already
kamu,You
adalah,is
orang,person
saja,just
seperti,like
ingin,want to
jika,If
pergi,go
hanya,only
semua,all
sekarang,Now
sini,here
jadi,So
dalam,in
bukan,No
baik,Good
bagaimana,How
jangan,Don't
lagi,Again
punya,Have
lebih,more
oh,oh
pada,on
mungkin,Possible
kalian,you
lakukan,do
karena,Because
sangat,very
satu,One
juga,Also
apakah,whether
mau,Want to
pernah,Once
siapa,Who
telah,has
ayo,Come on
hal,matter
saat,moment
kenapa,Why
hari,day
kembali,return
atau,or
datang,come
begitu,so
sesuatu,something
banyak,Lots
benar,Correct
kasih,love
menjadi,become
melihat,see
terjadi,happen
melakukan,do
terima,accept
tentang,about
lihat,Look
seorang,a
bahwa,that
kalau,if
hei,Hey
bagus,Good
bilang,said
masih,Still
oke,Okay
lain,other
sana,there
waktu,time
baiklah,Okay
tempat,place
mana,where
keluar,go out
lalu,Then
malam,Evening
